Source,Location,URL,Size (m²),Price (€/month),Bedrooms,Is it good?,
PAP,Rueil-Malmaison (92500),https://www.pap.fr/annonces/appartement-rueil-malmaison-92500-r448200587,15,649,,,
PAP,Neuilly-Sur-Seine (92200),https://www.pap.fr/annonces/appartement-neuilly-sur-seine-92200-r463800887,12,590,,,
PAP,Neuilly-Sur-Seine (92200),https://www.pap.fr/annonces/appartement-neuilly-sur-seine-92200-r435802344,11,650,,,
PAP,Asnieres-Sur-Seine (92600),https://www.pap.fr/annonces/colocation-asnieres-sur-seine-92600-r428501280,14,650,,,
PAP,Saint-Cloud (92210),https://www.pap.fr/annonces/appartement-saint-cloud-92210-r463801621,12,665,,,
PAP,Nanterre,https://www.pap.fr/annonces/appartement-nanterre-r197209815,22,650,,,
92!,,,,,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r463902937,64,615,,,
PAP,Colombes (92700),https://www.pap.fr/annonces/colocation-colombes-92700-r459401061,84,587,,,
PAP,Suresnes (92150),https://www.pap.fr/annonces/colocation-suresnes-92150-r459501035,160,650,,,
PAP,Meudon (92190),https://www.pap.fr/annonces/colocation-meudon-92190-r463101164,67,500,,,
PAP,Bourg-La-Reine,https://www.pap.fr/annonces/colocation-bourg-la-reine-r457000108,75,550,,,
PAP,Sceaux (92330),https://www.pap.fr/annonces/appartement-sceaux-92330-r453600691,32,650,,,
PAP,Nanterre (92000),https://www.pap.fr/annonces/colocation-nanterre-92000-r460502729,58,636,,,
PAP,Châtillon (92320),https://www.pap.fr/annonces/colocation-chatillon-92320-r463902094,62,570,,,
PAP,Colombes (92700),https://www.pap.fr/annonces/colocation-colombes-92700-r463600786,66,610,,,
PAP,Colocation,https://www.pap.fr/annonces/colocation-colocation-r453302843,89,590,,,
PAP,Asnières-Sur-Seine (92600),https://www.pap.fr/annonces/colocation-asnieres-sur-seine-92600-r462700349,98,680,,,
PAP,Antony (92160),https://www.pap.fr/annonces/appartement-antony-92160-r445001958,32,600,,,
PAP,Saint-Cloud (92210),https://www.pap.fr/annonces/appartement-saint-cloud-92210-r417302139,22,540,,,
PAP,Colombes (92700),https://www.pap.fr/annonces/colocation-colombes-92700-r463902955,66,610,,,
PAP,Villeneuve-La-Garenne (92390),https://www.pap.fr/annonces/colocation-villeneuve-la-garenne-92390-r463902200,82,650,,,
PAP,Gennevilliers (92230),https://www.pap.fr/annonces/appartement-gennevilliers-92230-r454601786,22,686,,,
PAP,Villeneuve-La-Garenne (92390),https://www.pap.fr/annonces/colocation-villeneuve-la-garenne-92390-r459602088,81,570,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r463802285,86,540,,,
PAP,La Garenne-Colombes (92250),https://www.pap.fr/annonces/colocation-la-garenne-colombes-92250-r423501444,55,570,,,
PAP,Sèvres (92310),https://www.pap.fr/annonces/colocation-sevres-92310-r463801213,450,650,,,
PAP,Bagneux (92220),https://www.pap.fr/annonces/colocation-bagneux-92220-r454000720,70,640,,,
PAP,Clamart (92140),https://www.pap.fr/annonces/colocation-clamart-92140-r457402832,125,650,,,
PAP,Asnières-Sur-Seine (92600),https://www.pap.fr/annonces/colocation-asnieres-sur-seine-92600-r463703446,104,700,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r457602015,73,630,,,
PAP,Meudon (92190),https://www.pap.fr/annonces/colocation-meudon-92190-r461702515,56,650,,,
PAP,Chaville,https://www.pap.fr/annonces/colocation-chaville-r406900725,70,595,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r463500216,86,542,,,
PAP,Sceaux (92330),https://www.pap.fr/annonces/colocation-sceaux-92330-r459001583,110,540,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r452101391,83,595,,,
PAP,Nanterre,https://www.pap.fr/annonces/appartement-nanterre-r197209815,22,650,,,
PAP,Antony (92160),https://www.pap.fr/annonces/colocation-antony-92160-r448602641,100,590,,,
Source,Location,URL,Size (m²),Price (€/month),Bedrooms,Listed-date,Is it good?
Around Paris ,,,,,,,
SeLoger,"RÃ©publique-UniversitÃ©, Nanterre, 92000",https://www.seloger.com/annonces/locations/appartement/nanterre-92/republique-universite/265818613.htm,13,630,3,,
SeLoger,"Livilliers, 95300",https://www.seloger.com/annonces/locations/appartement/livilliers-95/195866607.htm,18,628,,,
SeLoger,"Voltaire-GrÃ©sillons, AsniÃ¨res-sur-Seine, 92600",https://www.seloger.com/annonces/locations/appartement/asnieres-sur-seine-92/voltaire-gresillons/268149187.htm,15,595,,,
SeLoger,"Nesles Nord, Champs-sur-Marne, 77420",https://www.seloger.com/annonces/locations/appartement/champs-sur-marne-77/nesles-nord/272130663.htm,15,650,,,
SeLoger,"Auteuil Sud, Paris 16Ã¨me arrondissement, 75016",https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/265463459.htm,12,610,,,
SeLoger,"Buttes Chaumont, Paris 19Ã¨me arrondissement, 75019",https://www.seloger.com/annonces/locations/appartement/paris-19eme-75/buttes-chaumont/265388653.htm,14,647,,,
SeLoger,"Abbaye, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/abbaye/268323399.htm,15,600,,,
SeLoger,"Cormiers-Hauts Batons-Champy-Butte Verte, Noisy-le-Grand, 93160",https://www.seloger.com/annonces/locations/appartement/noisy-le-grand-93/cormiers-hauts-batons-champy-butte-verte/269426047.htm,15,619,,,
SeLoger,"Le Centre, AndrÃ©sy, 78570",https://www.seloger.com/annonces/locations/appartement/andresy-78/le-centre/259154517.htm,24,625,,,
SeLoger,"Croix BoisseliÃ¨re-BlÃ©s d'Or, Morangis, 91420",https://www.seloger.com/annonces/locations/appartement/morangis-91/267483091.htm,13,560,,,
SeLoger,"Plaine, Paris 20Ã¨me arrondissement, 75020",https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/plaine/265463477.htm,20,600,,,
SeLoger,"Champmesnil, Le Mesnil-Saint-Denis, 78320",https://www.seloger.com/annonces/locations/appartement/le-mesnil-saint-denis-78/champmesnil/265475673.htm,33.76,645,,,
SeLoger,"Le Moutier, Deuil-la-Barre, 95170",https://www.seloger.com/annonces/locations/appartement/deuil-la-barre-95/le-moutier/267658713.htm,16,608,,,
SeLoger,"Courcelles-Wagram, Paris 17Ã¨me arrondissement, 75017",https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/263901567.htm,15,628,,,
SeLoger,"La Corniche-Frot-Saint Faron-ClÃ©menceau, Meaux, 77100",https://www.seloger.com/annonces/locations/appartement/meaux-77/271140839.htm,31.71,650,,,
SeLoger,"Le Bois Moussay-Les Parouzets, Stains, 93240",https://www.seloger.com/annonces/locations/appartement/stains-93/le-bois-moussay-les-parouzets/271270119.htm,15,565,,,
SeLoger,"Baudouin RÃ©publique, Le Bourget, 93350",https://www.seloger.com/annonces/locations/appartement/le-bourget-93/baudouin-republique/271076815.htm,26.08,647,,,
SeLoger,"Saint Martin, Le Plessis-TrÃ©vise, 94420",https://www.seloger.com/annonces/locations/appartement/le-plessis-trevise-94/saint-martin/269483633.htm,21.59,600,,,
SeLoger,"Vaux-sur-Seine, 78740",https://www.seloger.com/annonces/locations/appartement/vaux-sur-seine-78/270670747.htm,37,581.77,1,,
SeLoger,"Le Chesnay-Rocquencourt, 78150",https://www.seloger.com/annonces/locations/appartement/le-chesnay-78/271590813.htm,20,570,,,
SeLoger,"Carriere-Bois Rochefort, Cormeilles-en-Parisis, 95240",https://www.seloger.com/annonces/locations/appartement/cormeilles-en-parisis-95/carriere-bois-rochefort/272114079.htm,10,595,,,
SeLoger,"Rive de Seine Sud Est, Melun, 77000",https://www.seloger.com/annonces/locations/appartement/melun-77/rive-de-seine-sud-est/255895647.htm,15,638,,,
SeLoger,"Les Changis, Rosny-sous-Bois, 93110",https://www.seloger.com/annonces/locations/appartement/rosny-sous-bois-93/les-changis/268714281.htm,17.57,640.58,,,
SeLoger,"Bel-Air Sud, Paris 12Ã¨me arrondissement, 75012",https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bel-air-sud/272155615.htm,12,650,,,
SeLoger,"Flandre-Aubervilliers, Paris 19Ã¨me arrondissement, 75019",https://www.seloger.com/annonces/locations/appartement/paris-19eme-75/flandre-aubervilliers/271518455.htm,12,650,,,
SeLoger,"Adamville, Saint-Maur-des-FossÃ©s, 94100",https://www.seloger.com/annonces/locations/appartement/saint-maur-des-fosses-94/adamville/26M43HG1SQ7R.htm,15,617,3,,
SeLoger,"Parc Aux Lievres, Ãvry-Courcouronnes, 91000",https://www.seloger.com/annonces/locations/appartement/evry-91/parc-aux-lievres/271633855.htm,28,546,,,
SeLoger,"Saint Michel, Etampes, 91150",https://www.seloger.com/annonces/locations/appartement/etampes-91/saint-michel/272187125.htm,28,510,,,
SeLoger,"PÃ©richelles-Saint Hubert-Centre Gare-Abbesses, Chelles, 77500",https://www.seloger.com/annonces/locations/appartement/chelles-77/271938839.htm,34,617.5,,,
SeLoger,"Enclos-Bois Lapelote, Cergy, 95800",https://www.seloger.com/annonces/locations/appartement/cergy-95/enclos-bois-lapelote/262553991.htm,13,525,,,
SeLoger,"Les Mobiles-Maison de SantÃ©, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/268865059.htm,11,480,,,
SeLoger,"Fresnays, Persan, 95340",https://www.seloger.com/annonces/locations/appartement/persan-95/271819531.htm,21,600,1,,
SeLoger,"Parc Aux Lievres, Ãvry-Courcouronnes, 91000",https://www.seloger.com/annonces/locations/appartement/evry-91/parc-aux-lievres/26MK9KARKAFM.htm,10,500,4,,
SeLoger,"Centre-Voltaire, AsniÃ¨res-sur-Seine, 92600",https://www.seloger.com/annonces/locations/appartement/asnieres-sur-seine-92/centre-voltaire/26UDT8HZXHVZ.htm,11,600,2,,
SeLoger,"Centre-Voltaire, AsniÃ¨res-sur-Seine, 92600",https://www.seloger.com/annonces/locations/appartement/asnieres-sur-seine-92/centre-voltaire/26F7MV1K162P.htm,14,630,3,,
SeLoger,"Langevin, Saint-Cyr-l'Ãcole, 78210",https://www.seloger.com/annonces/locations/appartement/saint-cyr-l-ecole-78/272163073.htm,29,563,,,
SeLoger,"HÃ´tel de Ville, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/hotel-de-ville/270900743.htm,12,565,,,
SeLoger,"Gallieni-De Lattre de Tassigny, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/gallieni-de-lattre-de-tassigny/264565841.htm,11,460,,,
SeLoger,"Saint Leu-Commandant Louis Bouchet, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/saint-leu-commandant-louis-bouchet/268862441.htm,12,460,,,
SeLoger,"La Saussaie Beauclair, Rosny-sous-Bois, 93110",https://www.seloger.com/annonces/locations/appartement/rosny-sous-bois-93/268850683.htm,12,460,,,
SeLoger,"La Saussaie Beauclair, Rosny-sous-Bois, 93110",https://www.seloger.com/annonces/locations/appartement/rosny-sous-bois-93/268847687.htm,11,460,,,
SeLoger,"Saint Leu-Commandant Louis Bouchet, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/saint-leu-commandant-louis-bouchet/268427291.htm,11,480,,,
SeLoger,"Les Mobiles-Maison de SantÃ©, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/les-mobiles-maison-de-sante/268407707.htm,19,500,,,
SeLoger,"Saint Leu-Commandant Louis Bouchet, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/saint-leu-commandant-louis-bouchet/268406931.htm,11,480,,,
SeLoger,"La Fontaine Blanche, Savigny-sur-Orge, 91600",https://www.seloger.com/annonces/locations/appartement/savigny-sur-orge-91/la-fontaine-blanche/262243925.htm,18,490,,,
SeLoger,"Saint Leu-Commandant Louis Bouchet, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/saint-leu-commandant-louis-bouchet/268362907.htm,11,430,,,
SeLoger,"Les Terrasses-Axe Majeur-Lauterne, Cergy, 95800",https://www.seloger.com/annonces/locations/appartement/cergy-95/les-terrasses-axe-majeur-lauterne/268342041.htm,12,520,,,
SeLoger,"Pierre Au Pretre, Orly, 94310",https://www.seloger.com/annonces/locations/appartement/orly-94/pierre-au-pretre/262246801.htm,15,530,,,
SeLoger,"Ormesson-Jean JaurÃ¨s, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/ormesson-jean-jaures/268329413.htm,12,480,,,
SeLoger,"Le Bourget, 93350",https://www.seloger.com/annonces/locations/appartement/le-bourget-93/267808709.htm,13,475,,,
SeLoger,"Verlaine-Routes, La Courneuve, 93120",https://www.seloger.com/annonces/locations/appartement/la-courneuve-93/267797419.htm,13,480,,,
SeLoger,"Ormesson-Jean JaurÃ¨s, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/267794233.htm,11,470,,,
SeLoger,"Bois de VerriÃ¨res-CoulÃ©e Verte-Parc Heller, Antony, 92160",https://www.seloger.com/annonces/locations/appartement/antony-92/271050051.htm,22.66,618,,,
SeLoger,"Begin, Saint-MandÃ©, 94160",https://www.seloger.com/annonces/locations/appartement/saint-mande-94/begin/271446323.htm,13.11,596.3,,,
SeLoger,"Clignancourt-Jules Joffrin, Paris 18Ã¨me arrondissement, 75018",https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/272192921.htm,13.15,559,,,
SeLoger,"Vieux Village, Domont, 95330",https://www.seloger.com/annonces/locations/appartement/domont-95/vieux-village/261324807.htm,18.46,620,1,,
SeLoger,"Issou, 78440",https://www.seloger.com/annonces/locations/appartement/issou-78/271454945.htm,34,650,,,
SeLoger,"Place de France, Massy, 91300",https://www.seloger.com/annonces/locations/appartement/massy-91/270872299.htm,11,599,,,
SeLoger,"Messy, 77410",https://www.seloger.com/annonces/locations/appartement/messy-77/271819139.htm,27,590,1,,
SeLoger,"HÃ´tel de Ville, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/hotel-de-ville/26IH4GCL1EEW.htm,12,560,6,,
SeLoger,"Courcelles-Wagram, Paris 17Ã¨me arrondissement, 75017",https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/271472619.htm,10,600,,,
SeLoger,"Vaux de Rome, Villejuif, 94800",https://www.seloger.com/annonces/locations/appartement/villejuif-94/vaux-de-rome/26UTJXRL76Y2.htm,11,650,,,
SeLoger,"Les Graviers, Massy, 91300",https://www.seloger.com/annonces/locations/appartement/massy-91/les-graviers/271133941.htm,10.78,618,,,
SeLoger,"Ville Sud Ouest, Fontainebleau, 77300",https://www.seloger.com/annonces/locations/appartement/fontainebleau-77/ville-sud-ouest/270819117.htm,13.14,580,,,
SeLoger,"Les Terrasses-Axe Majeur-Lauterne, Cergy, 95800",https://www.seloger.com/annonces/locations/appartement/cergy-95/les-terrasses-axe-majeur-lauterne/271626609.htm,17,520,,,
SeLoger,"Le Parc, Guyancourt, 78280",https://www.seloger.com/annonces/locations/appartement/guyancourt-78/le-parc/271605339.htm,18.23,595,,,
SeLoger,"MontlhÃ©ry, 91310",https://www.seloger.com/annonces/locations/appartement/montlhery-91/271603603.htm,32.7,622,,,
SeLoger,"Seine-Port, 77240",https://www.seloger.com/annonces/locations/appartement/seine-port-77/271240899.htm,30,600,1,,
SeLoger,"Paul Froment-Huit Mais 1945, Vitry-sur-Seine, 94400",https://www.seloger.com/annonces/locations/appartement/vitry-sur-seine-94/paul-froment-huit-mais-1945/270689067.htm,13,600,4,,
SeLoger,"Orgemont-Bellevue, Argenteuil, 95100",https://www.seloger.com/annonces/locations/appartement/argenteuil-95/orgemont-bellevue/272211471.htm,30.07,599,1,,
SeLoger,"Centre, Melun, 77000",https://www.seloger.com/annonces/locations/appartement/melun-77/centre/271665665.htm,23.01,600,,,
SeLoger,"Cimetiere, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/271174761.htm,17,532.48,,,
SeLoger,"Epinettes Est, Ãvry-Courcouronnes, 91000",https://www.seloger.com/annonces/locations/appartement/evry-91/epinettes-est/271842329.htm,30.8,644,,,
SeLoger,"Les bords de l'Yerres, Brunoy, 91800",https://www.seloger.com/annonces/locations/appartement/brunoy-91/271986383.htm,18,608,,,
SeLoger,"Centre Ville-Basilique, Argenteuil, 95100",https://www.seloger.com/annonces/locations/appartement/argenteuil-95/271525187.htm,23,624,,,
SeLoger,"Faulotte, ChÃ¢tenay-Malabry, 92290",https://www.seloger.com/annonces/locations/appartement/chatenay-malabry-92/faulotte/265256VBFQNL.htm,14,645,,,
SeLoger,"HÃ´tel de Ville, Saint-Cyr-l'Ãcole, 78210",https://www.seloger.com/annonces/locations/appartement/saint-cyr-l-ecole-78/271021791.htm,10,550,1,,
SeLoger,"Chaumes-en-Brie, 77390",https://www.seloger.com/annonces/locations/appartement/chaumes-en-brie-77/271898519.htm,36.07,620,,,
SeLoger,"Le Clos Saint Pierre, Pierrelaye, 95480",https://www.seloger.com/annonces/locations/appartement/pierrelaye-95/le-clos-saint-pierre/271882339.htm,22,545,,,
SeLoger,"Pavillons Sud, Chilly-Mazarin, 91380",https://www.seloger.com/annonces/locations/appartement/chilly-mazarin-91/pavillons-sud/271990827.htm,33.29,561.96,,,
SeLoger,"Centre Ville Ouest, Fontainebleau, 77300",https://www.seloger.com/annonces/locations/appartement/fontainebleau-77/centre-ville-ouest/26WF4Z42MQGH.htm,24,645,,,
SeLoger,"Villemoisson-sur-Orge, 91360",https://www.seloger.com/annonces/locations/appartement/villemoisson-sur-orge-91/271676623.htm,20.8,625,,,
SeLoger,"Coubert, 77170",https://www.seloger.com/annonces/locations/appartement/coubert-77/271638659.htm,31,650,,,
SeLoger,"Emeriau-Zola, Paris 15Ã¨me arrondissement, 75015",https://www.seloger.com/annonces/locations/appartement/paris-75/270468611.htm,11,345,,,
SeLoger,"Coteau Sud, Chevreuse, 78460",https://www.seloger.com/annonces/locations/appartement/chevreuse-78/coteau-sud/26R886Q11FTU.htm,18,590,,,
SeLoger,"Nord, L'Ãle-Saint-Denis, 93450",https://www.seloger.com/annonces/locations/appartement/l-ile-saint-denis-93/nord/271177873.htm,14,572,,,
SeLoger,"HÃ´tel de Ville, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/hotel-de-ville/26W8L499BUC6.htm,10,645,3,,
SeLoger,"Le Parterre, Dourdan, 91410",https://www.seloger.com/annonces/locations/appartement/dourdan-91/le-parterre/272034659.htm,38.5,629.45,,,
SeLoger,"Bastille-Popincourt, Paris 11Ã¨me arrondissement, 75011",https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/bastille-popincourt/271462241.htm,12,600,,,
SeLoger,"Croix Saint Loup-Saint Nicolas, Meaux, 77100",https://www.seloger.com/annonces/locations/appartement/meaux-77/272210649.htm,29,600,,,
SeLoger,"Centre Ville Nord Est, Fontainebleau, 77300",https://www.seloger.com/annonces/locations/appartement/fontainebleau-77/centre-ville-nord-est/272198105.htm,33,650,,,
SeLoger,"Pasteur, Saint-Cloud, 92210",https://www.seloger.com/annonces/locations/appartement/saint-cloud-92/pasteur/266DA2C526AC.htm,15,625,,,
SeLoger,"Orgemont-Bellevue, Argenteuil, 95100",https://www.seloger.com/annonces/locations/appartement/argenteuil-95/orgemont-bellevue/2678LT3SYEBZ.htm,13,620,2,,
SeLoger,"Bords de Marne, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/270841435.htm,19,611.52,,,
SeLoger,"La Sebille, Cergy, 95800",https://www.seloger.com/annonces/locations/appartement/cergy-95/la-sebille/265999573.htm,11,425,,,
SeLoger,"Ile de France, Les Ulis, 91940",https://www.seloger.com/annonces/locations/appartement/les-ulis-91/26FNHTL9J8ZL.htm,12,590,4,,
SeLoger,"Croix-Blanche-Cardinal-Bel Abord, Chilly-Mazarin, 91380",https://www.seloger.com/annonces/locations/appartement/chilly-mazarin-91/croix-blanche-cardinal-bel-abord/26JT2TNG7ZH3.htm,11,550,2,,
SeLoger,"Linas, 91310",https://www.seloger.com/annonces/locations/appartement/linas-91/270835735.htm,25.34,630,,,
SeLoger,"Centre Ville, Villemomble, 93250",https://www.seloger.com/annonces/locations/appartement/villemomble-93/272130667.htm,15,630,,,
SeLoger,"Chemin Dupuis-Paradis, Cergy, 95000",https://www.seloger.com/annonces/locations/appartement/cergy-95/chemin-dupuis-paradis/26ERE87BB2C3.htm,10,650,4,,
SeLoger,"LycÃ©e Monge, Savigny-sur-Orge, 91600",https://www.seloger.com/annonces/locations/appartement/savigny-sur-orge-91/lycee-monge/263KXTA5WMHS.htm,10,530,3,,
SeLoger,"Nozay, 91620",https://www.seloger.com/annonces/locations/appartement/nozay-91/271603597.htm,19.91,575,,,
SeLoger,"Descartes, Massy, 91300",https://www.seloger.com/annonces/locations/appartement/massy-91/descartes/2679YW9KP4K4.htm,15,565,3,,
SeLoger,"Nanteuil-le-Haudouin, 60440",https://www.seloger.com/annonces/locations/appartement/nanteuil-le-haudouin-60/270745777.htm,21,545,,,
SeLoger,"Rive de Seine Sud Est, Melun, 77000",https://www.seloger.com/annonces/locations/appartement/melun-77/271665659.htm,37.55,595,,,
SeLoger,"HÃ´tel de Ville, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/hotel-de-ville/269551451.htm,11.2,650,,,
SeLoger,"Marcouville, Pontoise, 95300",https://www.seloger.com/annonces/locations/appartement/pontoise-95/marcouville/26EN5IWI3ED5.htm,13,530,5,,
SeLoger,"Petit Dammarie-Croix Saint Jacques, Dammarie-les-Lys, 77190",https://www.seloger.com/annonces/locations/appartement/dammarie-les-lys-77/petit-dammarie-croix-saint-jacques/265U1JHQY9Q7.htm,11,600,2,,
SeLoger,"Nesles Nord, Champs-sur-Marne, 77420",https://www.seloger.com/annonces/locations/appartement/champs-sur-marne-77/272046621.htm,15,650,,,
SeLoger,"Bourse du Travail, Bobigny, 93000",https://www.seloger.com/annonces/locations/appartement/bobigny-93/bourse-du-travail/264562049.htm,10,475,,,
SeLoger,"Saint Leu-Commandant Louis Bouchet, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/saint-leu-commandant-louis-bouchet/265266225.htm,13,530,,,
SeLoger,"Trudaine-Maubeuge, Paris 9Ã¨me arrondissement, 75009",https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/trudaine-maubeuge/271782897.htm,11,509,,,
SeLoger,"Sud-Bords de Marne-Foch, Chelles, 77500",https://www.seloger.com/annonces/locations/appartement/chelles-77/sud-bords-de-marne-foch/271932141.htm,31,604.58,1,,
SeLoger,"Perle, Longjumeau, 91160",https://www.seloger.com/annonces/locations/appartement/longjumeau-91/271924379.htm,21,572,,,
SeLoger,"Haut, Maule, 78580",https://www.seloger.com/annonces/locations/appartement/maule-78/271891111.htm,33.14,630,1,,
SeLoger,"Les Dures Terres, Eaubonne, 95600",https://www.seloger.com/annonces/locations/appartement/eaubonne-95/les-dures-terres/261LEXY8ZCFH.htm,11,600,4,,
SeLoger,"Dame Blanche Nord, Garges-lÃ¨s-Gonesse, 95140",https://www.seloger.com/annonces/locations/appartement/garges-les-gonesse-95/271250627.htm,18,613.6,,,
SeLoger,"CimetiÃ¨re, Neuilly-sur-Marne, 93330",https://www.seloger.com/annonces/locations/appartement/neuilly-sur-marne-93/271435505.htm,22,603.2,,,
SeLoger,"Centre Ville-Gare, Noisy-le-Sec, 93130",https://www.seloger.com/annonces/locations/appartement/noisy-le-sec-93/267823119.htm,12,475,,,
SeLoger,"Ormesson-Jean JaurÃ¨s, Ãpinay-sur-Seine, 93800",https://www.seloger.com/annonces/locations/appartement/epinay-sur-seine-93/267792289.htm,10,465,,,
SeLoger,"Lion d'Or, Villejuif, 94800",https://www.seloger.com/annonces/locations/appartement/villejuif-94/lion-d-or/266648861.htm,10.6,600,,,
SeLoger,"Gare, Poissy, 78300",https://www.seloger.com/annonces/locations/appartement/poissy-78/gare/272192469.htm,21,590,,,
SeLoger,"Abbaye, CrÃ©teil, 94000",https://www.seloger.com/annonces/locations/appartement/creteil-94/abbaye/269005961.htm,10,600,,,
SeLoger,"Boissiere, Trappes, 78190",https://www.seloger.com/annonces/locations/appartement/trappes-78/boissiere/26PANMZQ55JZ.htm,13,580,,,
SeLoger,"Ile de France, Les Ulis, 91940",https://www.seloger.com/annonces/locations/appartement/les-ulis-91/ile-de-france/257146955.htm,13,577.68,4,,
SeLoger,"General de Gaulle-Iles, Montfermeil, 93370",https://www.seloger.com/annonces/locations/appartement/montfermeil-93/271710729.htm,30,602,,,
SeLoger,"Bois et ForÃªt de Fontainebleau, Dammarie-les-Lys, 77190",https://www.seloger.com/annonces/locations/appartement/dammarie-les-lys-77/bois-et-foret-de-fontainebleau/271676775.htm,22.11,530,,,
SeLoger,"La Croix Blanche, Vigneux-sur-Seine, 91270",https://www.seloger.com/annonces/locations/appartement/vigneux-sur-seine-91/la-croix-blanche/271655527.htm,27,563,,,
SeLoger,"Epinettes, Issy-les-Moulineaux, 92130",https://www.seloger.com/annonces/locations/appartement/issy-les-moulineaux-92/271060989.htm,13,650,,,
SeLoger,"Saint-Leu-d'Esserent, 60340",https://www.seloger.com/annonces/locations/appartement/saint-leu-d-esserent-60/271800259.htm,30,585,1,,
SeLoger,"RÃ©veil Matin, Houilles, 78800",https://www.seloger.com/annonces/locations/appartement/houilles-78/271906047.htm,18.92,624.79,,,
